Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,Gemiddelde beweging (km)
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469",304.7063581918612
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",304.7063581918612
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","46.7220121, 33.2306913","47.7043447, 36.6784228",,,,,304.61870263082415
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","46.7220121, 33.2306913","47.7348026, 37.2737004",,,,,304.61870263082415
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","47.7043447, 36.6784228",295.5644665488333
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",295.5644665488333
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913",289.7758130362792
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",289.7758130362792
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","48.0464243, 37.7984469",289.7758130362792
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",289.7758130362792
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329",289.7758130362792
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","48.705179, 37.9922329","46.7220121, 33.2306913",289.7758130362792
810-та окрема бригада Морської піхоти /// 810th Naval Infantry Brigade ,,,,"46.706277, 33.0183839","46.3055892, 33.619808","48.145369, 37.7559079","51.5020469, 35.1395981",285.41342509303246
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913",,,,,283.8952971311259
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","48.705179, 37.9922329","46.7220121, 33.2306913",283.8952971311259
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","48.705179, 37.9922329","47.7043447, 36.6784228",283.8952971311259
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228",,,,,283.8952971311259
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913",283.8952971311259
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228","47.7043447, 36.6784228",283.8952971311259
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228",283.8952971311259
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","46.7220121, 33.2306913",283.8952971311259
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","48.705179, 37.9922329",283.61583455644706
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329",283.61583455644706
