Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-02,2024-05-02,2024-06-01,2024-07-01,2024-08-01,2024-09-01
4th Separate Motorized Rifle Brigade,,,,"48.5949586, 37.9591555","48.5949586, 37.9591555","48.5949586, 37.9591555","48.5949586, 37.9591555","48.5949586, 37.9591555","48.5949586, 37.9591555"
40th Naval Infantry Brigade,,,,"47.7218567, 37.1439764","47.7218567, 37.1439764","47.7112311, 36.904338","47.7112311, 36.904338","47.7400993, 36.8219396","47.7400993, 36.8219396"
417th separate reconnaissance battalion,,,,"47.4213552, 36.0053894","47.4213552, 36.0053894","47.4213552, 36.0053894","47.4213552, 36.0053894","47.4213552, 36.0053894","47.4213552, 36.0053894"
423rd Guards Yampolsky Motor Rifle Regiment,,,,"49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229","49.386881, 38.040229"
428th Motorized Rifle Regiment,,,,,"48.1303768, 37.6055395","48.1303768, 37.6055395","48.1303768, 37.6055395","48.1303768, 37.6055395","48.1303768, 37.6055395"
429th Motorized Rifle Regiment,,,,"47.5058706, 35.3784568","47.5058706, 35.3784568","47.5058706, 35.3784568","47.5058706, 35.3784568","47.5058706, 35.3784568","47.5058706, 35.3784568"
439th Guards Rocket Artillery Brigade,,,,"46.3340967, 32.3252684","46.3340967, 32.3252684","46.3340967, 32.3252684","46.3340967, 32.3252684","46.3340967, 32.3252684","46.3340967, 32.3252684"
45th Engineer battalion,,,,"49.9710686, 37.8774328","49.9710686, 37.8774328","49.9710686, 37.8774328","49.9710686, 37.8774328","49.9710686, 37.8774328","49.9710686, 37.8774328"
45th Guards Spetsnaz Brigade,,,,"47.4754176, 35.4386095","47.4754176, 35.4386095","47.4754176, 35.4386095","47.4754176, 35.4386095","47.4754176, 35.4386095","47.4754176, 35.4386095"
47th tank division,,,,"49.6237022, 38.0325726","49.6237022, 38.0325726","49.6237022, 38.0325726","49.6237022, 38.0325726","49.6237022, 38.0325726","49.6237022, 38.0325726"
